date,station_id,rainfall_mm,w_avg,w_max,w_min,q_avg,q_max,q_min,flood_category
9/1/2010,BAD01,0,0.89,1.08,0.8,33.23,42.19,28.86,Normal
9/2/2010,BAD01,0,0.74,0.78,0.71,26.29,27.98,24.98,Normal
9/3/2010,BAD01,0,0.7,0.72,0.68,24.62,25.4,23.74,Normal
9/4/2010,BAD01,0,0.65,0.68,0.62,22.49,23.74,21.32,Normal
9/5/2010,BAD01,0,0.7,0.96,0.54,24.84,36.25,18.25,Normal
9/6/2010,BAD01,0,0.87,1.14,0.64,32.35,45.29,22.11,Normal
9/7/2010,BAD01,0,0.69,0.95,0.54,24.43,35.77,18.25,Normal
9/8/2010,BAD01,0,0.99,1.16,0.78,38.03,46.34,27.98,Normal
9/9/2010,BAD01,21.7,0.8,1.08,0.63,29.01,42.19,21.71,Normal
9/10/2010,BAD01,28.4,0.95,1.16,0.79,35.72,46.34,28.42,Normal
9/11/2010,BAD01,0,0.93,1.01,0.79,34.73,38.68,28.42,Normal
9/12/2010,BAD01,17.2,0.74,0.86,0.65,26.22,31.55,22.52,Normal
9/13/2010,BAD01,7,0.69,0.74,0.64,24.09,26.25,22.11,Normal
9/14/2010,BAD01,30.1,0.71,0.77,0.64,25.11,27.54,22.11,Normal
9/15/2010,BAD01,0,1.08,1.37,0.75,42.6,57.89,26.68,Normal
9/16/2010,BAD01,0,1.16,1.38,0.83,46.88,58.47,30.19,Normal
9/17/2010,BAD01,0,0.68,0.81,0.61,23.93,29.3,20.92,Normal
9/18/2010,BAD01,1.7,0.68,0.74,0.62,23.7,26.25,21.32,Normal
9/19/2010,BAD01,6.7,0.75,0.83,0.7,26.69,30.19,24.56,Normal
9/20/2010,BAD01,0,0.82,0.88,0.76,29.82,32.47,27.11,Normal
9/21/2010,BAD01,83.8,0.76,0.84,0.71,27.13,30.65,24.98,Normal
9/22/2010,BAD01,72.2,2.93,3.48,1.03,174.31,219.84,39.67,Normal
9/23/2010,BAD01,42.8,3.81,4.05,3.48,251.75,275.89,219.84,Minor Flood
9/24/2010,BAD01,23,4.1,4.14,4.07,281.43,285.17,277.95,Minor Flood
9/25/2010,BAD01,3.6,3.99,4.08,3.78,270.14,278.97,248.75,Minor Flood
9/26/2010,BAD01,7.8,3.34,3.75,2.88,207.39,245.8,166.11,Alert
9/27/2010,BAD01,0,2.5,2.85,2.26,135.63,163.57,116.71,Normal
9/28/2010,BAD01,96.9,2.44,3.17,2,131.44,191.38,97.98,Normal
9/29/2010,BAD01,0,3.16,3.28,2.9,191.01,201.31,167.81,Normal
9/30/2010,BAD01,0,2.49,2.87,2.11,134.72,165.26,105.75,Normal
10/1/2010,BAD01,59.4,1.99,2.12,1.77,97.42,106.47,82.44,Normal
10/2/2010,BAD01,0,2.93,3.54,1.83,173.13,225.51,86.4,Alert
10/3/2010,BAD01,45.8,3.68,3.75,3.56,239.43,245.8,227.42,Alert
10/4/2010,BAD01,0,3.47,3.67,3.17,218.88,238,191.38,Alert
10/5/2010,BAD01,1.9,2.73,3.14,2.38,153.94,188.7,125.76,Normal
10/6/2010,BAD01,10.1,2.21,2.36,2.11,112.99,124.24,105.75,Normal
10/7/2010,BAD01,24.2,2.15,2.38,1.98,108.7,125.76,96.59,Normal
10/8/2010,BAD01,9.9,2.74,2.96,2.41,154.56,172.95,128.06,Normal
10/9/2010,BAD01,3.6,3.04,3.09,2.96,180.04,184.28,172.95,Normal
10/10/2010,BAD01,0,2.93,3.06,2.69,170.73,181.64,150.29,Normal
10/11/2010,BAD01,6.7,2.41,2.66,2.15,127.89,147.84,108.64,Normal
10/12/2010,BAD01,0,1.97,2.14,1.78,95.94,107.91,83.1,Normal
10/13/2010,BAD01,0,1.56,1.76,1.39,69.55,81.79,59.04,Normal
10/14/2010,BAD01,0,1.24,1.36,1.16,50.69,57.32,46.34,Normal
10/15/2010,BAD01,0,1.11,1.17,1.05,43.55,46.86,40.67,Normal
10/16/2010,BAD01,1.1,0.99,1.04,0.96,37.69,40.17,36.25,Normal
10/17/2010,BAD01,8.6,0.94,0.98,0.89,35.2,37.21,32.94,Normal
10/18/2010,BAD01,0.8,0.98,1.02,0.94,37,39.18,35.29,Normal
10/19/2010,BAD01,0.5,0.92,1.03,0.8,34.21,39.67,28.86,Normal
10/20/2010,BAD01,0,0.84,0.93,0.73,30.74,34.81,25.82,Normal
10/21/2010,BAD01,0,0.79,0.9,0.68,28.52,33.4,23.74,Normal
10/22/2010,BAD01,0,0.8,0.89,0.69,28.69,32.94,24.15,Normal
10/23/2010,BAD01,0,0.78,0.9,0.66,27.84,33.4,22.92,Normal
10/24/2010,BAD01,0,0.77,0.88,0.69,27.55,32.47,24.15,Normal
10/25/2010,BAD01,0,0.81,1.05,0.64,29.54,40.67,22.11,Normal
10/26/2010,BAD01,0,1.01,1.18,0.75,38.66,47.4,26.68,Normal
10/27/2010,BAD01,0,0.75,0.84,0.68,26.6,30.65,23.74,Normal
10/28/2010,BAD01,118.1,0.96,1.51,0.68,36.86,66.12,23.74,Normal
10/29/2010,BAD01,0,1.92,2.12,1.66,92.28,106.47,75.37,Normal
10/30/2010,BAD01,6.4,1.85,2.16,1.41,88.48,109.36,60.2,Normal
10/31/2010,BAD01,0,1.14,1.37,1.02,45.56,57.89,39.18,Normal
11/1/2010,BAD01,0,0.95,1.02,0.88,35.7,39.18,32.47,Normal
11/2/2010,BAD01,0,0.87,0.98,0.8,31.94,37.21,28.86,Normal
11/3/2010,BAD01,0,0.77,0.94,0.62,27.81,35.29,21.32,Normal
11/4/2010,BAD01,49.1,0.74,0.9,0.6,26.38,33.4,20.53,Normal
11/5/2010,BAD01,4.1,1.02,1.18,0.91,39.18,47.4,33.87,Normal
11/6/2010,BAD01,22.2,1.11,1.29,0.94,44.02,53.38,35.29,Normal
11/7/2010,BAD01,20.9,1.13,1.23,0.98,44.95,50.08,37.21,Normal
11/8/2010,BAD01,4.4,2.1,2.4,1.3,106.12,127.29,53.93,Normal
11/9/2010,BAD01,0,1.74,2.21,1.3,81.38,113.01,53.93,Normal
11/10/2010,BAD01,0,1.24,1.91,1.02,50.91,91.78,39.18,Normal
11/11/2010,BAD01,1.1,3.09,3.38,2.12,185.65,210.5,106.47,Normal
11/12/2010,BAD01,0,3.06,3.38,2.64,182.43,210.5,146.22,Normal
11/13/2010,BAD01,21.5,2.18,2.6,1.96,111.02,143,95.2,Normal
11/14/2010,BAD01,1.1,2.59,2.75,2.07,142.84,155.22,102.9,Normal
11/15/2010,BAD01,9.6,2.6,2.78,2.35,142.91,157.71,123.48,Normal
11/16/2010,BAD01,0,2.52,2.65,2.31,136.61,147.03,120.45,Normal
11/17/2010,BAD01,6.9,2.24,2.52,2.03,115.17,136.64,100.08,Normal
11/18/2010,BAD01,0,2.48,2.56,2.34,133.83,139.81,122.72,Normal
11/19/2010,BAD01,0,2.44,2.61,2.17,130.3,143.8,110.09,Normal
11/20/2010,BAD01,27.9,1.98,2.16,1.84,96.68,109.36,87.07,Normal
11/21/2010,BAD01,26.6,2.29,2.69,2.1,119.55,150.29,105.04,Normal
11/22/2010,BAD01,32.6,2.59,2.77,2.3,142.62,156.88,119.7,Normal
11/23/2010,BAD01,1.6,2.63,2.78,2.28,145.78,157.71,118.2,Normal
11/24/2010,BAD01,127.2,2.82,3.31,2.64,160.93,204.05,146.22,Normal
11/25/2010,BAD01,40.5,3.86,4.12,3.4,257.21,283.1,212.35,Minor Flood
11/26/2010,BAD01,0.1,4.19,4.24,4.12,290.3,295.62,283.1,Minor Flood
11/27/2010,BAD01,0,3.85,4.1,3.52,256.37,281.04,223.62,Minor Flood
11/28/2010,BAD01,4.2,3.19,3.5,2.94,192.99,221.72,171.23,Alert
11/29/2010,BAD01,18.2,3.24,3.29,3.11,198.08,202.22,186.04,Normal
11/30/2010,BAD01,14,2.87,3.08,2.75,165.37,183.4,155.22,Normal
12/1/2010,BAD01,0.9,2.63,2.8,2.48,145.6,159.38,133.5,Normal
12/2/2010,BAD01,20.8,2.58,2.86,2.52,141.64,164.42,136.64,Normal
12/3/2010,BAD01,0,3.18,3.38,2.28,192.82,210.5,118.2,Normal
12/4/2010,BAD01,19.1,3.25,3.38,3.09,198.3,210.5,184.28,Normal
12/5/2010,BAD01,22.7,3.09,3.14,2.98,183.92,188.7,174.67,Normal
12/6/2010,BAD01,83.2,2.8,2.95,2.71,159.81,172.09,151.93,Normal
12/7/2010,BAD01,9.3,3.39,3.71,2.96,211.74,241.89,172.95,Alert
12/8/2010,BAD01,106.7,3.87,3.97,3.73,257.54,267.74,243.84,Alert
12/9/2010,BAD01,57.7,4.24,4.5,3.98,295.46,323.42,268.76,Minor Flood
12/10/2010,BAD01,7.8,4.55,4.57,4.51,328.73,331.06,324.5,Minor Flood
12/11/2010,BAD01,0.6,4.33,4.5,4.1,304.8,323.42,281.04,Minor Flood
12/12/2010,BAD01,0,3.74,4.07,3.38,245.6,277.95,210.5,Minor Flood
12/13/2010,BAD01,0,2.94,3.34,2.56,171.98,206.8,139.81,Normal
12/14/2010,BAD01,0,2.26,2.54,1.98,117.26,138.22,96.59,Normal
12/15/2010,BAD01,0,1.77,1.96,1.61,82.56,95.2,72.24,Normal
12/16/2010,BAD01,0,1.44,1.6,1.34,62.29,71.62,56.18,Normal
12/17/2010,BAD01,0,1.53,1.7,1.36,67.74,77.92,57.32,Normal
12/18/2010,BAD01,0,1.31,1.37,1.22,54.62,57.89,49.54,Normal
12/19/2010,BAD01,0,1.15,1.22,1.09,45.72,49.54,42.7,Normal
12/20/2010,BAD01,16,1.13,1.23,1.02,44.78,50.08,39.18,Normal
12/21/2010,BAD01,6.2,1.26,1.43,1.13,51.7,61.37,44.76,Normal
12/22/2010,BAD01,6.4,1.8,2.03,1.49,84.79,100.08,64.92,Normal
12/23/2010,BAD01,33.8,2.35,2.8,2.16,123.93,159.38,109.36,Normal
12/24/2010,BAD01,1.7,2.99,3.12,2.68,175.58,186.93,149.47,Normal
12/25/2010,BAD01,7.8,3.08,3.13,3,183.55,187.82,176.41,Normal
12/26/2010,BAD01,0,2.73,2.99,2.38,153.5,175.54,125.76,Normal
12/27/2010,BAD01,0,2.03,2.35,1.76,100.44,123.48,81.79,Normal
12/28/2010,BAD01,0,1.51,1.73,1.39,66.11,79.85,59.04,Normal
12/29/2010,BAD01,3.4,1.29,1.38,1.2,53.25,58.47,48.46,Normal
12/30/2010,BAD01,0,1.38,1.46,1.29,58.76,63.13,53.38,Normal
12/31/2010,BAD01,0,1.16,1.3,1,46.28,53.93,38.19,Normal
1/1/2011,BAD01,0,1.13,1.2,1.03,45,48.46,39.67,Normal
1/2/2011,BAD01,51,1.16,1.75,1,46.84,81.14,38.19,Normal
1/3/2011,BAD01,16.8,2.35,2.58,1.43,124.28,141.4,61.37,Normal
1/4/2011,BAD01,0,2.47,2.56,2.24,132.66,139.81,115.23,Normal
1/5/2011,BAD01,24.1,1.99,2.2,1.85,97.67,112.28,87.73,Normal
1/6/2011,BAD01,0.8,2.61,2.78,2.22,144.09,157.71,113.75,Normal
1/7/2011,BAD01,0,2.52,2.66,2.24,136.67,147.84,115.23,Normal
1/8/2011,BAD01,3.5,1.89,2.2,1.64,90.98,112.28,74.11,Normal
1/9/2011,BAD01,0,1.51,1.62,1.38,66.22,72.86,58.47,Normal
1/10/2011,BAD01,3.1,1.3,1.38,1.23,54.15,58.47,50.08,Normal
1/11/2011,BAD01,0,1.15,1.25,1.08,46.02,51.17,42.19,Normal
1/12/2011,BAD01,0,1,1.06,0.94,38.19,41.18,35.29,Normal
1/13/2011,BAD01,0,0.89,0.94,0.83,32.99,35.29,30.19,Normal
1/14/2011,BAD01,0,0.82,0.85,0.77,29.7,31.1,27.54,Normal
1/15/2011,BAD01,0,0.79,0.86,0.74,28.22,31.55,26.25,Normal
1/16/2011,BAD01,2,0.75,0.81,0.7,26.71,29.3,24.56,Normal
1/17/2011,BAD01,0,0.73,0.79,0.66,25.63,28.42,22.92,Normal
1/18/2011,BAD01,0,0.8,1.04,0.66,29.04,40.17,22.92,Normal
1/19/2011,BAD01,12.3,1.1,1.3,0.88,43.55,53.93,32.47,Normal
1/20/2011,BAD01,0,0.88,1.14,0.7,32.78,45.29,24.56,Normal
1/21/2011,BAD01,0,0.77,0.95,0.63,27.83,35.77,21.71,Normal
1/22/2011,BAD01,0,0.82,1.05,0.6,29.85,40.67,20.53,Normal
1/23/2011,BAD01,0,1.01,1.18,0.8,38.64,47.4,28.86,Normal
1/24/2011,BAD01,0,0.97,1.2,0.73,37.16,48.46,25.82,Normal
1/25/2011,BAD01,5,0.98,1.12,0.8,37.38,44.25,28.86,Normal
1/26/2011,BAD01,0,1.05,1.19,0.88,40.64,47.93,32.47,Normal
1/27/2011,BAD01,21.3,1.03,1.2,0.82,39.86,48.46,29.75,Normal
1/28/2011,BAD01,4.4,1.23,1.59,0.88,50.75,71,32.47,Normal
1/29/2011,BAD01,0,1.01,1.14,0.88,38.75,45.29,32.47,Normal
1/30/2011,BAD01,9.8,0.87,1.01,0.79,32.15,38.68,28.42,Normal
1/31/2011,BAD01,19,1.34,1.86,1.01,56.69,88.4,38.68,Normal
2/1/2011,BAD01,4.3,2.26,2.43,1.94,117.13,129.61,93.83,Normal
2/2/2011,BAD01,0,1.63,2.03,1.29,73.9,100.08,53.38,Normal
2/3/2011,BAD01,0.6,1.11,1.29,0.89,43.77,53.38,32.94,Normal
2/4/2011,BAD01,0,0.87,1.02,0.72,32.15,39.18,25.4,Normal
2/5/2011,BAD01,0,0.87,1.08,0.64,32,42.19,22.11,Normal
2/6/2011,BAD01,0,0.86,1.08,0.64,31.84,42.19,22.11,Normal
2/7/2011,BAD01,0,0.93,1.06,0.8,35.07,41.18,28.86,Normal
2/8/2011,BAD01,0,0.88,1.28,0.74,32.69,52.82,26.25,Normal
2/9/2011,BAD01,0,1.33,1.45,1.2,55.61,62.54,48.46,Normal
2/10/2011,BAD01,1.4,1.21,1.46,0.98,49.26,63.13,37.21,Normal
2/11/2011,BAD01,1.4,1.73,2.02,1.14,81.12,99.38,45.29,Normal
2/12/2011,BAD01,0,1.57,1.96,1.23,70.45,95.2,50.08,Normal
2/13/2011,BAD01,0,1.03,1.21,0.92,39.5,49,34.34,Normal
2/14/2011,BAD01,0,0.85,0.94,0.76,30.97,35.29,27.11,Normal
2/15/2011,BAD01,0,1.02,1.22,0.85,39.52,49.54,31.1,Normal
2/16/2011,BAD01,0,0.83,1,0.67,30.23,38.19,23.33,Normal
2/17/2011,BAD01,0,0.77,0.88,0.66,27.58,32.47,22.92,Normal
2/18/2011,BAD01,5.4,0.84,1.18,0.66,30.99,47.4,22.92,Normal
2/19/2011,BAD01,0,1.04,1.27,0.8,40.62,52.27,28.86,Normal
2/20/2011,BAD01,0,1.05,1.24,0.85,40.64,50.63,31.1,Normal
2/21/2011,BAD01,14,1.08,1.31,0.84,42.61,54.49,30.65,Normal
2/22/2011,BAD01,0,1.51,1.76,1.13,66.46,81.79,44.76,Normal
2/23/2011,BAD01,0,0.87,1.08,0.74,32.04,42.19,26.25,Normal
2/24/2011,BAD01,3.4,0.73,0.8,0.66,25.81,28.86,22.92,Normal
2/25/2011,BAD01,18.5,0.82,0.91,0.7,29.65,33.87,24.56,Normal
2/26/2011,BAD01,22,1.22,1.42,0.98,49.89,60.78,37.21,Normal
2/27/2011,BAD01,0,1.26,1.38,1.07,51.62,58.47,41.68,Normal
2/28/2011,BAD01,11.8,1.29,1.45,1.08,53.39,62.54,42.19,Normal
3/1/2011,BAD01,3.9,1.1,1.51,0.91,43.77,66.12,33.87,Normal
3/2/2011,BAD01,1.7,1.33,1.55,1.01,55.71,68.54,38.68,Normal
3/3/2011,BAD01,0,1.04,1.16,0.92,40.42,46.34,34.34,Normal
3/4/2011,BAD01,0,0.9,1.04,0.71,33.64,40.17,24.98,Normal
3/5/2011,BAD01,23.8,0.91,1.21,0.68,34.21,49,23.74,Normal
3/6/2011,BAD01,0,1.2,1.45,0.86,48.77,62.54,31.55,Normal
3/7/2011,BAD01,0,0.88,1.13,0.72,32.66,44.76,25.4,Normal
3/8/2011,BAD01,2.8,1.1,1.38,0.9,43.61,58.47,33.4,Normal
3/9/2011,BAD01,0,0.86,0.95,0.74,31.61,35.77,26.25,Normal
3/10/2011,BAD01,0,0.77,0.85,0.7,27.59,31.1,24.56,Normal
3/11/2011,BAD01,0,0.74,0.79,0.67,26.05,28.42,23.33,Normal
3/12/2011,BAD01,0,0.7,0.75,0.6,24.58,26.68,20.53,Normal
3/13/2011,BAD01,5.3,0.7,0.75,0.6,24.6,26.68,20.53,Normal
3/14/2011,BAD01,0,1.6,1.82,1.25,71.93,85.74,51.17,Normal
3/15/2011,BAD01,0,0.85,1.19,0.68,31.3,47.93,23.74,Normal
3/16/2011,BAD01,5.6,0.91,1.32,0.78,33.79,55.06,27.98,Normal
3/17/2011,BAD01,0,1.83,2.04,1.46,86.93,100.78,63.13,Normal
3/18/2011,BAD01,0,1.3,1.56,0.95,54.17,69.15,35.77,Normal
3/19/2011,BAD01,0,1.01,1.26,0.7,38.77,51.72,24.56,Normal
3/20/2011,BAD01,0,1.17,1.31,0.92,46.75,54.49,34.34,Normal
3/21/2011,BAD01,3.6,1.25,1.47,1.04,51.39,63.73,40.17,Normal
3/22/2011,BAD01,0,1.39,1.55,1.01,59.25,68.54,38.68,Normal
3/23/2011,BAD01,1.6,1.05,1.21,0.81,40.71,49,29.3,Normal
3/24/2011,BAD01,4.7,0.97,1.14,0.81,36.75,45.29,29.3,Normal
3/25/2011,BAD01,0,0.92,1.05,0.77,34.46,40.67,27.54,Normal
3/26/2011,BAD01,12.5,0.77,0.83,0.73,27.74,30.19,25.82,Normal
3/27/2011,BAD01,25.2,0.76,0.77,0.73,26.97,27.54,25.82,Normal
3/28/2011,BAD01,14.3,0.72,0.81,0.67,25.46,29.3,23.33,Normal
3/29/2011,BAD01,0,1.02,1.15,0.83,39.1,45.81,30.19,Normal
3/30/2011,BAD01,0,2.06,2.31,1.21,102.72,120.45,49,Normal
3/31/2011,BAD01,0,1.78,2.09,1.36,83.85,104.32,57.32,Normal
4/1/2011,BAD01,0,1.21,1.36,0.92,49.13,57.32,34.34,Normal
4/2/2011,BAD01,0,0.86,0.97,0.71,31.81,36.73,24.98,Normal
4/3/2011,BAD01,0,0.84,1.02,0.71,30.9,39.18,24.98,Normal
4/4/2011,BAD01,1.7,0.85,0.94,0.75,30.9,35.29,26.68,Normal
4/5/2011,BAD01,0,0.83,0.94,0.74,30.24,35.29,26.25,Normal
4/6/2011,BAD01,10.1,1.03,1.13,0.94,39.93,44.76,35.29,Normal
4/7/2011,BAD01,1.7,0.86,1,0.71,31.77,38.19,24.98,Normal
4/8/2011,BAD01,0,0.74,0.86,0.6,26.43,31.55,20.53,Normal
4/9/2011,BAD01,0,1.17,1.68,0.8,47.56,76.64,28.86,Normal
4/10/2011,BAD01,0,1.55,1.84,1.15,68.9,87.07,45.81,Normal
4/11/2011,BAD01,11.5,1.06,1.37,0.94,41.2,57.89,35.29,Normal
4/12/2011,BAD01,13.4,1.54,1.65,1.4,67.79,74.74,59.62,Normal
4/13/2011,BAD01,7.9,1.52,1.59,1.43,66.98,71,61.37,Normal
4/14/2011,BAD01,0,1.42,1.65,1.3,60.93,74.74,53.93,Normal
4/15/2011,BAD01,5.6,1.56,1.72,1.29,69.37,79.2,53.38,Normal
4/16/2011,BAD01,0,1.35,1.5,1.25,56.96,65.52,51.17,Normal
4/17/2011,BAD01,28,1.57,1.67,1.43,69.55,76.01,61.37,Normal
4/18/2011,BAD01,29.1,2.46,2.85,1.16,133.34,163.57,46.34,Normal
4/19/2011,BAD01,46.3,2.86,2.99,2.78,164.58,175.54,157.71,Normal
4/20/2011,BAD01,0,3.21,3.3,3.04,194.86,203.13,179.89,Normal
4/21/2011,BAD01,0,2.81,3.16,2.39,161.06,190.49,126.53,Normal
4/22/2011,BAD01,14.8,2.15,2.35,1.88,108.55,123.48,89.75,Normal
4/23/2011,BAD01,39.4,2.29,3,1.75,121.37,176.41,81.14,Normal
4/24/2011,BAD01,2.8,3.13,3.19,3.03,187.72,193.17,179.01,Normal
4/25/2011,BAD01,57.7,2.68,2.99,2.51,150.03,175.54,135.85,Normal
4/26/2011,BAD01,8.8,2.47,2.56,2.27,132.68,139.81,117.46,Normal
4/27/2011,BAD01,48,2.12,2.25,2.05,106.53,115.97,101.48,Normal
4/28/2011,BAD01,5.3,2.67,2.79,2.27,148.94,158.54,117.46,Normal
4/29/2011,BAD01,0,3.19,3.48,2.82,193.17,219.84,161.05,Normal
4/30/2011,BAD01,0,3.42,3.58,0.52,217.53,229.33,17.51,Alert
5/1/2011,BAD01,17.4,3.11,3.43,2.87,186.48,215.15,165.26,Normal
5/2/2011,BAD01,0,2.83,2.87,2.72,161.7,165.26,152.75,Normal
5/3/2011,BAD01,2,2.31,2.67,1.95,120.49,148.66,94.52,Normal
5/4/2011,BAD01,1.4,1.78,1.93,1.62,83.4,93.14,72.86,Normal
5/5/2011,BAD01,0,1.44,1.61,1.26,62.25,72.24,51.72,Normal
5/6/2011,BAD01,0,1.2,1.28,1.09,48.72,52.82,42.7,Normal
5/7/2011,BAD01,0,1.04,1.12,0.95,40.24,44.25,35.77,Normal
5/8/2011,BAD01,0.3,0.93,0.98,0.88,34.98,37.21,32.47,Normal
5/9/2011,BAD01,0,0.88,0.94,0.84,32.58,35.29,30.65,Normal
5/10/2011,BAD01,8.7,1,1.07,0.88,38.31,41.68,32.47,Normal
5/11/2011,BAD01,1.7,1.01,1.06,0.96,38.59,41.18,36.25,Normal
5/12/2011,BAD01,0,0.9,0.95,0.86,33.62,35.77,31.55,Normal
5/13/2011,BAD01,0,0.83,0.91,0.75,30.13,33.87,26.68,Normal
5/14/2011,BAD01,0.3,0.74,0.84,0.68,26.48,30.65,23.74,Normal
5/15/2011,BAD01,0,0.91,1.22,0.65,34.35,49.54,22.52,Normal
5/16/2011,BAD01,0,1.11,1.3,0.86,43.89,53.93,31.55,Normal
5/17/2011,BAD01,0,0.91,1.3,0.75,34.31,53.93,26.68,Normal
5/18/2011,BAD01,0,1.3,1.6,0.85,54.66,71.62,31.1,Normal
5/19/2011,BAD01,10.1,0.84,1.19,0.62,30.78,47.93,21.32,Normal
5/20/2011,BAD01,2.5,1.08,1.22,0.94,42.51,49.54,35.29,Normal
5/21/2011,BAD01,44.4,1.05,1.23,0.8,40.74,50.08,28.86,Normal
5/22/2011,BAD01,1.7,0.98,1.1,0.79,37.39,43.21,28.42,Normal
5/23/2011,BAD01,0.8,0.95,1.05,0.84,35.66,40.67,30.65,Normal
5/24/2011,BAD01,10.9,0.81,0.83,0.79,29.28,30.19,28.42,Normal
5/25/2011,BAD01,58,0.81,1,0.75,29.45,38.19,26.68,Normal
5/26/2011,BAD01,27.2,2.39,3.34,1.03,132.93,206.8,39.67,Normal
5/27/2011,BAD01,14,3.82,4.14,3.38,252.59,285.17,210.5,Minor Flood
5/28/2011,BAD01,6.7,4.32,4.41,4.17,304.38,313.69,288.29,Minor Flood
5/29/2011,BAD01,0,4.3,4.41,4.07,301.72,313.69,277.95,Minor Flood
5/30/2011,BAD01,46.2,3.57,4.04,3.07,229.46,274.87,182.52,Minor Flood
5/31/2011,BAD01,47.3,2.71,3.04,2.4,152.13,179.89,127.29,Normal
6/1/2011,BAD01,12.9,2.96,3.37,2.37,173.67,209.57,125,Normal
6/2/2011,BAD01,0,3.4,3.46,3.23,212.27,217.96,196.77,Normal
6/3/2011,BAD01,6.9,2.8,3.19,2.36,159.68,193.17,124.24,Normal
6/4/2011,BAD01,15.7,2.14,2.33,2.01,107.97,121.96,98.68,Normal
6/5/2011,BAD01,0,1.74,1.97,1.49,80.45,95.9,64.92,Normal
6/6/2011,BAD01,18.9,1.4,1.63,1.29,59.9,73.49,53.38,Normal
6/7/2011,BAD01,0,1.81,1.92,1.67,85.02,92.46,76.01,Normal
6/8/2011,BAD01,3.2,1.47,1.64,1.31,64.03,74.11,54.49,Normal
6/9/2011,BAD01,4.5,1.23,1.4,1.16,50.32,59.62,46.34,Normal
6/10/2011,BAD01,0,1.62,1.7,1.46,73.11,77.92,63.13,Normal
6/11/2011,BAD01,0,1.3,1.5,1.13,54.2,65.52,44.76,Normal
6/12/2011,BAD01,1.4,1.05,1.13,0.95,40.87,44.76,35.77,Normal
6/13/2011,BAD01,0,1,1.14,0.8,38.45,45.29,28.86,Normal
6/14/2011,BAD01,3.4,1.13,1.19,1.04,44.76,47.93,40.17,Normal
6/15/2011,BAD01,8.8,1.02,1.1,0.92,39.35,43.21,34.34,Normal
6/16/2011,BAD01,2,1.04,1.13,0.92,40.29,44.76,34.34,Normal
6/17/2011,BAD01,0,0.89,0.95,0.75,32.78,35.77,26.68,Normal
6/18/2011,BAD01,0,0.79,0.88,0.73,28.25,32.47,25.82,Normal
6/19/2011,BAD01,1.1,0.77,0.88,0.7,27.66,32.47,24.56,Normal
6/20/2011,BAD01,0,0.78,0.88,0.6,27.85,32.47,20.53,Normal
6/21/2011,BAD01,0,0.79,0.88,0.71,28.42,32.47,24.98,Normal
6/22/2011,BAD01,0,0.74,0.76,0.7,26.22,27.11,24.56,Normal
6/23/2011,BAD01,0,0.65,0.74,0.6,22.58,26.25,20.53,Normal
6/24/2011,BAD01,0,0.62,0.66,0.57,21.17,22.92,19.38,Normal
6/25/2011,BAD01,9.5,0.67,0.74,0.57,23.19,26.25,19.38,Normal
6/26/2011,BAD01,0,0.73,0.78,0.65,25.76,27.98,22.52,Normal
6/27/2011,BAD01,0,0.58,0.65,0.53,19.74,22.52,17.88,Normal
6/28/2011,BAD01,0,0.57,0.66,0.48,19.4,22.92,16.06,Normal
6/29/2011,BAD01,0,0.56,0.68,0.48,19.07,23.74,16.06,Normal
6/30/2011,BAD01,0,0.64,0.94,0.46,22.5,35.29,15.36,Normal
7/1/2011,BAD01,0,0.89,1.04,0.64,33.1,40.17,22.11,Normal
7/2/2011,BAD01,0,0.66,0.88,0.54,23.17,32.47,18.25,Normal
7/3/2011,BAD01,0,1.04,1.11,0.9,40.11,43.73,33.4,Normal
7/4/2011,BAD01,21.2,0.91,1.13,0.58,34.51,44.76,19.76,Normal
7/5/2011,BAD01,9,0.66,0.92,0.51,23.27,34.34,17.14,Normal
7/6/2011,BAD01,6,0.96,1.12,0.8,36.4,44.25,28.86,Normal
7/7/2011,BAD01,0,0.76,0.83,0.68,27.13,30.19,23.74,Normal
7/8/2011,BAD01,3.1,0.63,0.67,0.6,21.54,23.33,20.53,Normal
7/9/2011,BAD01,1.4,0.59,0.64,0.55,20.11,22.11,18.62,Normal
7/10/2011,BAD01,0,0.53,0.56,0.51,18.01,19,17.14,Normal
7/11/2011,BAD01,1.1,0.57,0.87,0.43,19.72,32.01,14.32,Normal
7/12/2011,BAD01,3.1,0.9,1.01,0.79,33.36,38.68,28.42,Normal
7/13/2011,BAD01,3.9,0.9,1.01,0.79,33.36,38.68,28.42,Normal
7/14/2011,BAD01,6.2,0.94,1.06,0.76,35.2,41.18,27.11,Normal
7/15/2011,BAD01,6.4,0.8,1.02,0.73,29.15,39.18,25.82,Normal
7/16/2011,BAD01,7.6,1,1.14,0.76,38.33,45.29,27.11,Normal
7/17/2011,BAD01,5.3,0.82,0.88,0.75,29.91,32.47,26.68,Normal
7/18/2011,BAD01,4.5,0.8,0.84,0.75,28.96,30.65,26.68,Normal
7/19/2011,BAD01,6.8,0.76,0.83,0.72,27.14,30.19,25.4,Normal
7/20/2011,BAD01,5.9,0.66,0.76,0.59,23.05,27.11,20.15,Normal
7/21/2011,BAD01,1.7,0.65,0.71,0.59,22.53,24.98,20.15,Normal
7/22/2011,BAD01,2.2,0.68,0.72,0.66,23.91,25.4,22.92,Normal
