date,station_id,rainfall_mm,w_avg,w_max,w_min,q_avg,q_max,q_min,flood_category,rainfall_DEN01,rainfall_LAN01,rainfall_THA01,rainfall_UDU01,rainfall_MAK01,rainfall_BAD01,rising_flag,station_code,rainfall_mm_lag_1,rainfall_mm_lag_2,rainfall_mm_lag_3,w_avg_lag_1,w_avg_lag_2,w_max_lag_1,rainfall_mm_rolling_3,rainfall_mm_rolling_7,w_avg_rolling_3,w_avg_delta,rainfall_delta,rainfall_DEN01_lag_1,rainfall_DEN01_lag_2,rainfall_LAN01_lag_1,rainfall_LAN01_lag_2,rainfall_THA01_lag_1,rainfall_THA01_lag_2,rainfall_UDU01_lag_1,rainfall_UDU01_lag_2,rainfall_MAK01_lag_1,rainfall_MAK01_lag_2,flood_label
2010-09-04,BAD01,0.0,0.65,0.68,0.62,22.49,23.74,21.32,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.7,0.74,0.72,0.0,0.0,0.6966666666666667,-0.04999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-09-05,BAD01,0.0,0.7,0.96,0.54,24.84,36.25,18.25,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.65,0.7,0.68,0.0,0.0,0.6833333333333332,0.04999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-09-06,BAD01,0.0,0.87,1.14,0.64,32.35,45.29,22.11,Normal,0.0,0.0,14.6,0.0,2.5,0.0,0,0,0.0,0.0,0.0,0.7,0.65,0.96,0.0,0.0,0.7399999999999999,0.17000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-09-07,BAD01,0.0,0.69,0.95,0.54,24.43,35.77,18.25,Normal,0.0,0.0,1.6,0.0,1.9,0.0,0,0,0.0,0.0,0.0,0.87,0.7,1.14,0.0,0.0,0.7533333333333333,-0.18000000000000005,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,2.5,0.0,0
2010-09-08,BAD01,0.0,0.99,1.16,0.78,38.03,46.34,27.98,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.69,0.87,0.95,0.0,0.0,0.85,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,1.6,14.6,0.0,0.0,1.9,2.5,0
2010-09-09,BAD01,21.7,0.8,1.08,0.63,29.01,42.19,21.71,Normal,0.0,0.0,14.0,0.0,26.2,21.7,0,0,0.0,0.0,0.0,0.99,0.69,1.16,7.233333333333333,3.1,0.8266666666666667,-0.18999999999999995,21.7,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.9,0
2010-09-10,BAD01,28.4,0.95,1.16,0.79,35.72,46.34,28.42,Normal,0.0,0.0,5.4,0.0,0.0,28.4,0,0,21.7,0.0,0.0,0.8,0.99,1.08,16.7,7.157142857142857,0.9133333333333332,0.1499999999999999,6.699999999999999,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,26.2,0.0,0
2010-09-11,BAD01,0.0,0.93,1.01,0.79,34.73,38.68,28.42,Normal,0.0,0.0,0.0,0.0,28.8,0.0,0,0,28.4,21.7,0.0,0.95,0.8,1.16,16.7,7.157142857142857,0.8933333333333334,-0.019999999999999907,-28.4,0.0,0.0,0.0,0.0,5.4,14.0,0.0,0.0,0.0,26.2,0
2010-09-12,BAD01,17.2,0.74,0.86,0.65,26.22,31.55,22.52,Normal,0.0,0.0,10.9,0.0,0.0,17.2,0,0,0.0,28.4,21.7,0.93,0.95,1.01,15.199999999999998,9.614285714285714,0.8733333333333334,-0.19000000000000006,17.2,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,28.8,0.0,0
2010-09-13,BAD01,7.0,0.69,0.74,0.64,24.09,26.25,22.11,Normal,0.0,0.0,5.6,0.0,16.8,7.0,0,0,17.2,0.0,28.4,0.74,0.93,0.86,8.066666666666666,10.614285714285714,0.7866666666666667,-0.050000000000000044,-10.2,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,28.8,0
2010-09-14,BAD01,30.1,0.71,0.77,0.64,25.11,27.54,22.11,Normal,0.0,0.0,40.4,0.0,6.8,30.1,0,0,7.0,17.2,0.0,0.69,0.74,0.74,18.099999999999998,14.914285714285715,0.7133333333333333,0.020000000000000018,23.1,0.0,0.0,0.0,0.0,5.6,10.9,0.0,0.0,16.8,0.0,0
2010-09-15,BAD01,0.0,1.08,1.37,0.75,42.6,57.89,26.68,Normal,0.0,0.0,7.6,0.0,23.3,0.0,0,0,30.1,7.0,17.2,0.71,0.69,0.77,12.366666666666665,14.914285714285715,0.8266666666666667,0.3700000000000001,-30.1,0.0,0.0,0.0,0.0,40.4,5.6,0.0,0.0,6.8,16.8,0
2010-09-16,BAD01,0.0,1.16,1.38,0.83,46.88,58.47,30.19,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,30.1,7.0,1.08,0.71,1.37,10.033333333333333,11.814285714285713,0.9833333333333334,0.07999999999999985,0.0,0.0,0.0,0.0,0.0,7.6,40.4,0.0,0.0,23.3,6.8,0
2010-09-17,BAD01,0.0,0.68,0.81,0.61,23.93,29.3,20.92,Normal,0.0,0.0,2.4,0.0,0.0,0.0,0,0,0.0,0.0,30.1,1.16,1.08,1.38,0.0,7.757142857142858,0.9733333333333333,-0.47999999999999987,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,23.3,0
2010-09-18,BAD01,1.7,0.68,0.74,0.62,23.7,26.25,21.32,Normal,0.0,0.0,24.5,0.0,0.8,1.7,0,0,0.0,0.0,0.0,0.68,1.16,0.81,0.5666666666666667,8.0,0.84,0.0,1.7,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0
2010-09-19,BAD01,6.7,0.75,0.83,0.7,26.69,30.19,24.56,Normal,0.0,0.0,7.6,0.0,2.6,6.7,0,0,1.7,0.0,0.0,0.68,0.68,0.74,2.8000000000000003,6.5,0.7033333333333335,0.06999999999999995,5.0,0.0,0.0,0.0,0.0,24.5,2.4,0.0,0.0,0.8,0.0,0
2010-09-20,BAD01,0.0,0.82,0.88,0.76,29.82,32.47,27.11,Normal,0.0,0.0,0.0,0.0,5.7,0.0,0,0,6.7,1.7,0.0,0.75,0.68,0.83,2.8000000000000003,5.5,0.75,0.06999999999999995,-6.7,0.0,0.0,0.0,0.0,7.6,24.5,0.0,0.0,2.6,0.8,0
2010-09-21,BAD01,83.8,0.76,0.84,0.71,27.13,30.65,24.98,Normal,0.0,0.0,109.5,0.0,0.0,83.8,0,0,0.0,6.7,1.7,0.82,0.75,0.88,30.166666666666668,13.171428571428569,0.7766666666666667,-0.05999999999999994,83.8,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,5.7,2.6,0
2010-09-22,BAD01,72.2,2.93,3.48,1.03,174.31,219.84,39.67,Normal,0.0,0.0,53.5,0.0,101.1,72.2,0,0,83.8,0.0,6.7,0.76,0.82,0.84,52.0,23.485714285714288,1.5033333333333332,2.17,-11.599999999999994,0.0,0.0,0.0,0.0,109.5,0.0,0.0,0.0,0.0,5.7,0
2010-09-23,BAD01,42.8,3.81,4.05,3.48,251.75,275.89,219.84,Minor Flood,0.0,0.0,47.2,0.0,61.2,42.8,0,0,72.2,83.8,0.0,2.93,0.76,3.48,66.26666666666667,29.599999999999998,2.5,0.8799999999999999,-29.400000000000006,0.0,0.0,0.0,0.0,53.5,109.5,0.0,0.0,101.1,0.0,2
2010-09-24,BAD01,23.0,4.1,4.14,4.07,281.43,285.17,277.95,Minor Flood,0.0,0.0,20.9,0.0,31.1,23.0,0,0,42.8,72.2,83.8,3.81,2.93,4.05,46.0,32.885714285714286,3.6133333333333333,0.2899999999999996,-19.799999999999997,0.0,0.0,0.0,0.0,47.2,53.5,0.0,0.0,61.2,101.1,2
2010-09-25,BAD01,3.6,3.99,4.08,3.78,270.14,278.97,248.75,Minor Flood,0.0,0.0,2.0,0.0,30.0,3.6,0,0,23.0,42.8,72.2,4.1,3.81,4.14,23.13333333333333,33.15714285714286,3.9666666666666663,-0.10999999999999943,-19.4,0.0,0.0,0.0,0.0,20.9,47.2,0.0,0.0,31.1,61.2,2
2010-09-26,BAD01,7.8,3.34,3.75,2.88,207.39,245.8,166.11,Alert,0.0,0.0,2.8,0.0,9.4,7.8,0,0,3.6,23.0,42.8,3.99,4.1,4.08,11.466666666666667,33.31428571428571,3.81,-0.6500000000000004,4.199999999999999,0.0,0.0,0.0,0.0,2.0,20.9,0.0,0.0,30.0,31.1,1
2010-09-27,BAD01,0.0,2.5,2.85,2.26,135.63,163.57,116.71,Normal,0.0,0.0,1.4,0.0,0.0,0.0,0,0,7.8,3.6,23.0,3.34,3.99,3.75,3.8000000000000003,33.31428571428571,3.276666666666666,-0.8399999999999999,-7.8,0.0,0.0,0.0,0.0,2.8,2.0,0.0,0.0,9.4,30.0,0
2010-09-28,BAD01,96.9,2.44,3.17,2.0,131.44,191.38,97.98,Normal,0.0,0.0,12.5,0.0,2.7,96.9,0,0,0.0,7.8,3.6,2.5,3.34,2.85,34.9,35.18571428571429,2.76,-0.06000000000000005,96.9,0.0,0.0,0.0,0.0,1.4,2.8,0.0,0.0,0.0,9.4,0
2010-09-29,BAD01,0.0,3.16,3.28,2.9,191.01,201.31,167.81,Normal,0.0,0.0,2.0,0.0,98.6,0.0,0,0,96.9,0.0,7.8,2.44,2.5,3.17,32.300000000000004,24.871428571428574,2.6999999999999997,0.7200000000000002,-96.9,0.0,0.0,0.0,0.0,12.5,1.4,0.0,0.0,2.7,0.0,0
2010-09-30,BAD01,0.0,2.49,2.87,2.11,134.72,165.26,105.75,Normal,0.0,0.0,2.0,0.0,2.1,0.0,0,0,0.0,96.9,0.0,3.16,2.44,3.28,32.300000000000004,18.75714285714286,2.6966666666666668,-0.6699999999999999,0.0,0.0,0.0,0.0,0.0,2.0,12.5,0.0,0.0,98.6,2.7,0
2010-10-01,BAD01,59.4,1.99,2.12,1.77,97.42,106.47,82.44,Normal,0.0,0.0,91.0,0.0,1.1,59.4,0,0,0.0,0.0,96.9,2.49,3.16,2.87,19.8,23.95714285714286,2.5466666666666664,-0.5000000000000002,59.4,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.1,98.6,0
2010-10-02,BAD01,0.0,2.93,3.54,1.83,173.13,225.51,86.4,Alert,0.0,0.0,65.3,0.0,1.2,0.0,0,0,59.4,0.0,0.0,1.99,2.49,2.12,19.8,23.442857142857147,2.4699999999999998,0.9400000000000002,-59.4,0.0,0.0,0.0,0.0,91.0,2.0,0.0,0.0,1.1,2.1,1
2010-10-03,BAD01,45.8,3.68,3.75,3.56,239.43,245.8,227.42,Alert,0.0,0.0,13.4,0.0,39.0,45.8,0,0,0.0,59.4,0.0,2.93,1.99,3.54,35.06666666666666,28.87142857142857,2.8666666666666667,0.75,45.8,0.0,0.0,0.0,0.0,65.3,91.0,0.0,0.0,1.2,1.1,1
2010-10-04,BAD01,0.0,3.47,3.67,3.17,218.88,238.0,191.38,Alert,0.0,0.0,0.0,0.0,0.0,0.0,0,0,45.8,0.0,59.4,3.68,2.93,3.75,15.266666666666666,28.87142857142857,3.36,-0.20999999999999996,-45.8,0.0,0.0,0.0,0.0,13.4,65.3,0.0,0.0,39.0,1.2,1
2010-10-05,BAD01,1.9,2.73,3.14,2.38,153.94,188.7,125.76,Normal,0.0,0.0,25.5,0.0,1.4,1.9,0,0,0.0,45.8,0.0,3.47,3.68,3.67,15.899999999999999,15.299999999999999,3.293333333333333,-0.7400000000000002,1.9,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,39.0,0
2010-10-06,BAD01,10.1,2.21,2.36,2.11,112.99,124.24,105.75,Normal,0.0,0.0,30.0,0.0,7.1,10.1,0,0,1.9,0.0,45.8,2.73,3.47,3.14,4.0,16.74285714285714,2.8033333333333332,-0.52,8.2,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,1.4,0.0,0
2010-10-07,BAD01,24.2,2.15,2.38,1.98,108.7,125.76,96.59,Normal,0.0,0.0,57.7,0.0,25.1,24.2,0,0,10.1,1.9,0.0,2.21,2.73,2.36,12.066666666666668,20.2,2.363333333333333,-0.06000000000000005,14.1,0.0,0.0,0.0,0.0,30.0,25.5,0.0,0.0,7.1,1.4,0
2010-10-08,BAD01,9.9,2.74,2.96,2.41,154.56,172.95,128.06,Normal,0.0,0.0,16.3,0.0,80.0,9.9,0,0,24.2,10.1,1.9,2.15,2.21,2.38,14.733333333333334,13.128571428571428,2.3666666666666667,0.5900000000000003,-14.299999999999999,0.0,0.0,0.0,0.0,57.7,30.0,0.0,0.0,25.1,7.1,0
2010-10-09,BAD01,3.6,3.04,3.09,2.96,180.04,184.28,172.95,Normal,0.0,0.0,18.7,0.0,0.0,3.6,0,0,9.9,24.2,10.1,2.74,2.15,2.96,12.566666666666668,13.642857142857142,2.643333333333333,0.2999999999999998,-6.300000000000001,0.0,0.0,0.0,0.0,16.3,57.7,0.0,0.0,80.0,25.1,0
2010-10-10,BAD01,0.0,2.93,3.06,2.69,170.73,181.64,150.29,Normal,0.0,0.0,0.9,0.0,0.0,0.0,0,0,3.6,9.9,24.2,3.04,2.74,3.09,4.5,7.1000000000000005,2.903333333333333,-0.10999999999999988,-3.6,0.0,0.0,0.0,0.0,18.7,16.3,0.0,0.0,0.0,80.0,0
2010-10-11,BAD01,6.7,2.41,2.66,2.15,127.89,147.84,108.64,Normal,0.0,0.0,13.0,0.0,0.0,6.7,0,0,0.0,3.6,9.9,2.93,3.04,3.06,3.4333333333333336,8.057142857142857,2.793333333333333,-0.52,6.7,0.0,0.0,0.0,0.0,0.9,18.7,0.0,0.0,0.0,0.0,0
2010-10-12,BAD01,0.0,1.97,2.14,1.78,95.94,107.91,83.1,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.7,0.0,3.6,2.41,2.93,2.66,2.233333333333334,7.785714285714286,2.4366666666666665,-0.44000000000000017,-6.7,0.0,0.0,0.0,0.0,13.0,0.9,0.0,0.0,0.0,0.0,0
2010-10-13,BAD01,0.0,1.56,1.76,1.39,69.55,81.79,59.04,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6.7,0.0,1.97,2.41,2.14,2.233333333333334,6.3428571428571425,1.9799999999999995,-0.4099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0
2010-10-14,BAD01,0.0,1.24,1.36,1.16,50.69,57.32,46.34,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,6.7,1.56,1.97,1.76,0.0,2.885714285714286,1.5899999999999999,-0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-10-15,BAD01,0.0,1.11,1.17,1.05,43.55,46.86,40.67,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.24,1.56,1.36,0.0,1.4714285714285715,1.303333333333333,-0.1299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-10-16,BAD01,1.1,0.99,1.04,0.96,37.69,40.17,36.25,Normal,0.0,0.0,1.9,0.0,0.0,1.1,0,0,0.0,0.0,0.0,1.11,1.24,1.17,0.3666666666666667,1.1142857142857143,1.113333333333333,-0.1200000000000001,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-10-17,BAD01,8.6,0.94,0.98,0.89,35.2,37.21,32.94,Normal,0.0,0.0,14.6,0.0,0.0,8.6,0,0,1.1,0.0,0.0,0.99,1.11,1.04,3.233333333333333,2.3428571428571425,1.013333333333333,-0.050000000000000044,7.5,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0
2010-10-18,BAD01,0.8,0.98,1.02,0.94,37.0,39.18,35.29,Normal,0.0,0.0,1.0,0.0,0.0,0.8,0,0,8.6,1.1,0.0,0.94,0.99,0.98,3.5,1.5,0.9699999999999998,0.040000000000000036,-7.8,0.0,0.0,0.0,0.0,14.6,1.9,0.0,0.0,0.0,0.0,0
2010-10-19,BAD01,0.5,0.92,1.03,0.8,34.21,39.67,28.86,Normal,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0.8,8.6,1.1,0.98,0.94,1.02,3.3000000000000003,1.5714285714285714,0.9466666666666663,-0.05999999999999994,-0.30000000000000004,0.0,0.0,0.0,0.0,1.0,14.6,0.0,0.0,0.0,0.0,0
2010-10-20,BAD01,0.0,0.84,0.93,0.73,30.74,34.81,25.82,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,0.8,8.6,0.92,0.98,1.03,0.43333333333333335,1.5714285714285714,0.9133333333333331,-0.08000000000000007,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2010-10-21,BAD01,0.0,0.79,0.9,0.68,28.52,33.4,23.74,Normal,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.5,0.8,0.84,0.92,0.93,0.16666666666666666,1.5714285714285714,0.8499999999999996,-0.04999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-10-22,BAD01,0.0,0.8,0.89,0.69,28.69,32.94,24.15,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.79,0.84,0.9,0.0,1.5714285714285714,0.8099999999999997,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2010-10-23,BAD01,0.0,0.78,0.9,0.66,27.84,33.4,22.92,Normal,0.0,0.0,0.6,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.8,0.79,0.89,0.0,1.4142857142857144,0.7899999999999997,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2010-10-24,BAD01,0.0,0.77,0.88,0.69,27.55,32.47,24.15,Normal,0.0,0.0,6.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.78,0.8,0.9,0.0,0.18571428571428572,0.7833333333333331,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0
2010-10-25,BAD01,0.0,0.81,1.05,0.64,29.54,40.67,22.11,Normal,0.0,0.0,9.8,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.77,0.78,0.88,0.0,0.07142857142857142,0.7866666666666665,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,6.0,0.6,0.0,0.0,0.0,0.0,0
2010-10-26,BAD01,0.0,1.01,1.18,0.75,38.66,47.4,26.68,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.81,0.77,1.05,0.0,0.0,0.863333333333333,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,9.8,6.0,0.0,0.0,0.0,0.0,0
2010-10-27,BAD01,0.0,0.75,0.84,0.68,26.6,30.65,23.74,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.01,0.81,1.18,0.0,0.0,0.8566666666666665,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0
2010-10-28,BAD01,118.1,0.96,1.51,0.68,36.86,66.12,23.74,Normal,0.0,0.0,51.6,0.0,0.0,118.1,0,0,0.0,0.0,0.0,0.75,1.01,0.84,39.36666666666667,16.87142857142857,0.9066666666666663,0.20999999999999996,118.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-10-29,BAD01,0.0,1.92,2.12,1.66,92.28,106.47,75.37,Normal,0.0,0.0,12.7,0.0,0.0,0.0,0,0,118.1,0.0,0.0,0.96,0.75,1.51,39.36666666666667,16.87142857142857,1.2099999999999997,0.96,-118.1,0.0,0.0,0.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,0
2010-10-30,BAD01,6.4,1.85,2.16,1.41,88.48,109.36,60.2,Normal,0.0,0.0,2.6,0.0,0.0,6.4,0,0,0.0,118.1,0.0,1.92,0.96,2.12,41.5,17.785714285714285,1.5766666666666662,-0.06999999999999984,6.4,0.0,0.0,0.0,0.0,12.7,51.6,0.0,0.0,0.0,0.0,0
2010-10-31,BAD01,0.0,1.14,1.37,1.02,45.56,57.89,39.18,Normal,0.0,0.0,1.1,0.0,0.0,0.0,0,0,6.4,0.0,118.1,1.85,1.92,2.16,2.1333333333333333,17.785714285714285,1.6366666666666665,-0.7100000000000002,-6.4,0.0,0.0,0.0,0.0,2.6,12.7,0.0,0.0,0.0,0.0,0
2010-11-01,BAD01,0.0,0.95,1.02,0.88,35.7,39.18,32.47,Normal,0.0,0.0,3.7,0.0,0.0,0.0,0,0,0.0,6.4,0.0,1.14,1.85,1.37,2.1333333333333333,17.785714285714285,1.313333333333333,-0.18999999999999995,0.0,0.0,0.0,0.0,0.0,1.1,2.6,0.0,0.0,0.0,0.0,0
2010-11-02,BAD01,0.0,0.87,0.98,0.8,31.94,37.21,28.86,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,6.4,0.95,1.14,1.02,0.0,17.785714285714285,0.9866666666666664,-0.07999999999999996,0.0,0.0,0.0,0.0,0.0,3.7,1.1,0.0,0.0,0.0,0.0,0
2010-11-03,BAD01,0.0,0.77,0.94,0.62,27.81,35.29,21.32,Normal,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0.0,0.87,0.95,0.98,0.0,17.785714285714285,0.863333333333333,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0
2010-11-04,BAD01,49.1,0.74,0.9,0.6,26.38,33.4,20.53,Normal,0.0,0.0,11.5,0.0,41.1,49.1,0,0,0.0,0.0,0.0,0.77,0.87,0.94,16.366666666666667,7.928571428571429,0.793333333333333,-0.030000000000000027,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
2010-11-05,BAD01,4.1,1.02,1.18,0.91,39.18,47.4,33.87,Normal,0.0,0.0,11.6,0.0,4.1,4.1,0,0,49.1,0.0,0.0,0.74,0.77,0.9,17.733333333333334,8.514285714285714,0.8433333333333329,0.28,-45.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,41.1,0.5,0
2010-11-06,BAD01,22.2,1.11,1.29,0.94,44.02,53.38,35.29,Normal,0.0,0.0,19.6,0.0,19.7,22.2,0,0,4.1,49.1,0.0,1.02,0.74,1.18,25.133333333333336,10.771428571428572,0.9566666666666664,0.09000000000000008,18.1,0.0,0.0,0.0,0.0,11.6,11.5,0.0,0.0,4.1,41.1,0
2010-11-07,BAD01,20.9,1.13,1.23,0.98,44.95,50.08,37.21,Normal,0.0,0.0,67.4,0.0,31.1,20.9,0,0,22.2,4.1,49.1,1.11,1.02,1.29,15.733333333333333,13.757142857142856,1.0866666666666662,0.019999999999999796,-1.3000000000000007,0.0,0.0,0.0,0.0,19.6,11.6,0.0,0.0,19.7,4.1,0
2010-11-08,BAD01,4.4,2.1,2.4,1.3,106.12,127.29,53.93,Normal,0.0,0.0,0.0,0.0,3.3,4.4,0,0,20.9,22.2,4.1,1.13,1.11,1.23,15.83333333333333,14.385714285714286,1.4466666666666665,0.9700000000000002,-16.5,0.0,0.0,0.0,0.0,67.4,19.6,0.0,0.0,31.1,19.7,0
2010-11-09,BAD01,0.0,1.74,2.21,1.3,81.38,113.01,53.93,Normal,0.0,0.0,2.4,0.0,0.0,0.0,0,0,4.4,20.9,22.2,2.1,1.13,2.4,8.433333333333332,14.385714285714286,1.6566666666666663,-0.3600000000000001,-4.4,0.0,0.0,0.0,0.0,0.0,67.4,0.0,0.0,3.3,31.1,0
2010-11-10,BAD01,0.0,1.24,1.91,1.02,50.91,91.78,39.18,Normal,0.0,0.0,71.3,0.0,79.1,0.0,0,0,0.0,4.4,20.9,1.74,2.1,2.21,1.4666666666666668,14.385714285714286,1.6933333333333331,-0.5,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,3.3,0
2010-11-11,BAD01,1.1,3.09,3.38,2.12,185.65,210.5,106.47,Normal,0.0,0.0,8.2,0.0,7.1,1.1,0,0,0.0,0.0,4.4,1.24,1.74,1.91,0.3666666666666667,7.528571428571428,2.023333333333333,1.8499999999999999,1.1,0.0,0.0,0.0,0.0,71.3,2.4,0.0,0.0,79.1,0.0,0
2010-11-12,BAD01,0.0,3.06,3.38,2.64,182.43,210.5,146.22,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.0,0.0,3.09,1.24,3.38,0.3666666666666667,6.942857142857142,2.463333333333333,-0.029999999999999805,-1.1,0.0,0.0,0.0,0.0,8.2,71.3,0.0,0.0,7.1,79.1,0
2010-11-13,BAD01,21.5,2.18,2.6,1.96,111.02,143.0,95.2,Normal,0.0,0.0,44.2,0.0,21.7,21.5,0,0,0.0,1.1,0.0,3.06,3.09,3.38,7.533333333333334,6.8428571428571425,2.776666666666666,-0.8799999999999999,21.5,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,7.1,0
2010-11-14,BAD01,1.1,2.59,2.75,2.07,142.84,155.22,102.9,Normal,0.0,0.0,13.7,0.0,6.9,1.1,0,0,21.5,0.0,1.1,2.18,3.06,2.6,7.533333333333334,4.014285714285714,2.61,0.4099999999999997,-20.4,0.0,0.0,0.0,0.0,44.2,0.0,0.0,0.0,21.7,0.0,0
2010-11-15,BAD01,9.6,2.6,2.78,2.35,142.91,157.71,123.48,Normal,0.0,0.0,3.8,0.0,9.8,9.6,0,0,1.1,21.5,0.0,2.59,2.18,2.75,10.733333333333334,4.757142857142857,2.4566666666666666,0.010000000000000231,8.5,0.0,0.0,0.0,0.0,13.7,44.2,0.0,0.0,6.9,21.7,0
2010-11-16,BAD01,0.0,2.52,2.65,2.31,136.61,147.03,120.45,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.6,1.1,21.5,2.6,2.59,2.78,3.5666666666666664,4.757142857142857,2.57,-0.08000000000000007,-9.6,0.0,0.0,0.0,0.0,3.8,13.7,0.0,0.0,9.8,6.9,0
2010-11-17,BAD01,6.9,2.24,2.52,2.03,115.17,136.64,100.08,Normal,0.0,0.0,35.3,0.0,10.3,6.9,0,0,0.0,9.6,1.1,2.52,2.6,2.65,5.5,5.742857142857143,2.453333333333333,-0.2799999999999998,6.9,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,9.8,0
2010-11-18,BAD01,0.0,2.48,2.56,2.34,133.83,139.81,122.72,Normal,0.0,0.0,20.6,0.0,10.4,0.0,0,0,6.9,0.0,9.6,2.24,2.52,2.52,2.3000000000000003,5.585714285714286,2.4133333333333336,0.23999999999999977,-6.9,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,10.3,0.0,0
2010-11-19,BAD01,0.0,2.44,2.61,2.17,130.3,143.8,110.09,Normal,0.0,0.0,7.2,0.0,0.0,0.0,0,0,0.0,6.9,0.0,2.48,2.24,2.56,2.3000000000000003,5.585714285714286,2.3866666666666667,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,20.6,35.3,0.0,0.0,10.4,10.3,0
2010-11-20,BAD01,27.9,1.98,2.16,1.84,96.68,109.36,87.07,Normal,0.0,0.0,7.7,0.0,11.5,27.9,0,0,0.0,0.0,6.9,2.44,2.48,2.61,9.299999999999999,6.5,2.3000000000000003,-0.45999999999999996,27.9,0.0,0.0,0.0,0.0,7.2,20.6,0.0,0.0,0.0,10.4,0
